sponsor,total_trials,completed,terminated,avg_enrollment,sponsor_category,completion_rate,termination_rate
Amgen,91,60,20,159.0,Large Pharma,65.9,22.0
The Cleveland Clinic,89,64,13,973.0,Hospital and Health System,71.9,14.6
Dana-Farber Cancer Institute,88,45,7,775.0,Academic,51.1,8.0
Yonsei University,86,72,5,163.0,Academic,83.7,5.8
"Jiangsu HengRui Medicine Co., Ltd.",85,72,5,176.0,Large Pharma,84.7,5.9
"University of California, San Diego",85,57,6,818.0,Academic,67.1,7.1
Chinese University of Hong Kong,85,70,4,437.0,Academic,82.4,4.7
University of Aarhus,85,73,7,302.0,Academic,85.9,8.2
"University Health Network, Toronto",84,62,8,51.0,Academic,73.8,9.5
Weill Medical College of Cornell University,83,40,25,125.0,Academic,48.2,30.1
"University Hospital, Toulouse",83,62,15,133.0,Academic,74.7,18.1
University of Oxford,83,67,8,258.0,Academic,80.7,9.6
University of Zurich,82,72,5,93.0,Academic,87.8,6.1
Maastricht University Medical Center,82,73,5,95.0,Academic,89.0,6.1
University of Rochester,81,67,4,355.0,Large Pharma,82.7,4.9
Istanbul University - Cerrahpasa,81,79,0,89.0,Academic,97.5,0.0
National Taiwan University Hospital,81,70,1,197.0,Academic,86.4,1.2
Alexandria University,79,78,0,59.0,Academic,98.7,0.0
Ohio State University,78,50,9,1232.0,Academic,64.1,11.5
McMaster University,78,59,7,142.0,Academic,75.6,9.0
University of Chicago,78,49,12,176.0,Academic,62.8,15.4
Chang Gung Memorial Hospital,75,71,1,91.0,Hospital and Health System,94.7,1.3
Ataturk University,75,73,0,80.0,Academic,97.3,0.0
University of Sao Paulo,74,67,3,76.0,Academic,90.5,4.1
University of Southern California,74,42,14,179.0,Academic,56.8,18.9
Centre Hospitalier Universitaire de Nice,73,48,7,49.0,Academic,65.8,9.6
"University of Maryland, Baltimore",73,44,8,1570.0,Academic,60.3,11.0
Gilead Sciences,70,40,20,265.0,Large Pharma,57.1,28.6
"Rigshospitalet, Denmark",68,57,4,521.0,Hospital and Health System,83.8,5.9
Universitaire Ziekenhuizen KU Leuven,67,54,4,109.0,Academic,80.6,6.0
Sun Yat-sen University,67,42,5,151.0,Academic,62.7,7.5
Radboud University Medical Center,66,54,7,395.0,Academic,81.8,10.6
"University Hospital, Montpellier",66,46,16,123.0,Academic,69.7,24.2
"Children's Hospital Medical Center, Cincinnati",66,46,7,2613.0,Hospital and Health System,69.7,10.6
University of Virginia,65,48,2,501.0,Academic,73.8,3.1
Rush University Medical Center,63,40,5,152.0,Academic,63.5,7.9
"University Hospital, Basel, Switzerland",63,51,4,231.0,Academic,81.0,6.3
Virginia Commonwealth University,63,44,14,285.0,Academic,69.8,22.2
Indonesia University,63,63,0,70.0,Academic,100.0,0.0
"Insel Gruppe AG, University Hospital Bern",63,43,10,146.0,Academic,68.3,15.9
Oregon Health and Science University,62,49,3,90.0,Academic,79.0,4.8
"University Hospital, Bordeaux",62,53,5,884.0,Academic,85.5,8.1
The Hong Kong Polytechnic University,62,60,0,110.0,Academic,96.8,0.0
Celgene,61,37,15,170.0,Large Pharma,60.7,24.6
Milton S. Hershey Medical Center,60,40,10,92.0,Hospital and Health System,66.7,16.7
Medical College of Wisconsin,60,44,8,84.0,Academic,73.3,13.3
University of Kansas Medical Center,60,46,4,254.0,Academic,76.7,6.7
University of Illinois at Chicago,60,45,6,107.0,Academic,75.0,10.0
Zagazig University,60,57,0,110.0,Academic,95.0,0.0
Marmara University,59,53,1,212.0,Academic,89.8,1.7
"University Hospital, Ghent",58,51,4,58.0,Academic,87.9,6.9
City of Hope Medical Center,57,16,1,51.0,Hospital and Health System,28.1,1.8
Ege University,57,55,0,81.0,Academic,96.5,0.0
University of Missouri-Columbia,56,38,11,45.0,Academic,67.9,19.6
Pamukkale University,56,56,0,69.0,Academic,100.0,0.0
Regeneron Pharmaceuticals,56,39,9,451.0,Large Pharma,69.6,16.1
Istanbul University,56,55,0,57.0,Academic,98.2,0.0
Istanbul Medipol University Hospital,56,54,0,53.0,Academic,96.4,0.0
"University Hospital, Grenoble",55,29,17,73.0,Academic,52.7,30.9
Samsung Medical Center,55,46,2,129.0,Hospital and Health System,83.6,3.6
Nantes University Hospital,55,38,13,1205.0,Academic,69.1,23.6
Imperial College London,55,41,9,71.0,Academic,74.5,16.4
Oslo University Hospital,54,40,6,150.0,Academic,74.1,11.1
Al-Azhar University,54,48,0,54.0,Academic,88.9,0.0
University of Sao Paulo General Hospital,53,50,1,142.0,Academic,94.3,1.9
University of Manitoba,53,42,6,184.0,Academic,79.2,11.3
Gazi University,53,51,0,61.0,Academic,96.2,0.0
H. Lee Moffitt Cancer Center and Research Institute,52,21,9,74.0,Academic,40.4,17.3
King's College London,52,48,2,137.0,Academic,92.3,3.8
University of Arkansas,52,31,11,61.0,Academic,59.6,21.2
Incyte Corporation,51,32,13,133.0,Large Pharma,62.7,25.5
Biogen,51,36,8,152.0,Large Pharma,70.6,15.7
University of Nebraska,51,29,8,39.0,Academic,56.9,15.7
Case Comprehensive Cancer Center,51,32,5,41.0,Hospital and Health System,62.7,9.8
University of Calgary,51,39,4,2266.0,Academic,76.5,7.8
Alcon Research,51,46,2,180.0,Large Pharma,90.2,3.9
University of Oklahoma,51,29,4,93.0,Academic,56.9,7.8
Chong Kun Dang Pharmaceutical,51,50,0,74.0,Large Pharma,98.0,0.0
University of Arizona,50,35,4,72.0,Academic,70.0,8.0
Beth Israel Deaconess Medical Center,50,31,10,75.0,Hospital and Health System,62.0,20.0
"Charite University, Berlin, Germany",50,40,6,244.0,Academic,80.0,12.0
Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,50,23,10,26.0,Hospital and Health System,46.0,20.0
London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,50,33,8,80.0,Biotech,66.0,16.0
Dartmouth-Hitchcock Medical Center,50,37,7,355.0,Hospital and Health System,74.0,14.0
Mahidol University,49,45,2,1500.0,Academic,91.8,4.1
University of Valencia,49,46,1,75.0,Academic,93.9,2.0
Northwell Health,48,28,7,290.0,Hospital and Health System,58.3,14.6
